"Professor","Course","Semester","AcademicYear","StudentName","EvaluationScore"
"Cindy","Accounting","Fall",4045,"Adoree Girardoni",169.35353882
"Fiona","Financial Modeling","Fall",2021,"Adoree Girardoni",75.82864354
"Jack","US History","Spring",2021,"Adoree Girardoni",80.98632378
"Jack","Urban sociology","Fall",2021,"Adoree Girardoni",86.0125428
"Jill","Environmental Ethics","Fall",2021,"Adoree Girardoni",87.18855468
"Jimmy","Counseling Psychology","Fall",2021,"Adoree Girardoni",67.90148045
"Lee","Data Visualization","Spring",2021,"Adoree Girardoni",71.46442168
"Lee","Python2","Spring",2021,"Adoree Girardoni",71.3901031
"Peter","General Biology","Spring",2021,"Adoree Girardoni",89.97951044
"Sue","Commercial Law","Fall",2021,"Adoree Girardoni",89.61043051
"Tina","Big Data","Fall",2021,"Adoree Girardoni",96.5233291
"Tony","Modern History","Fall",2021,"Adoree Girardoni",84.95321162
"Jill","Environmental Ethics","Fall",2021,"Aeriela Omar",75.00846662
"Jimmy","Counseling Psychology","Fall",2021,"Aeriela Omar",74.60462837
"Wang","Statistics","Fall",2021,"Aeriela Omar",68.02075362
"Antony","Communication","Spring",4044,"Ailsun McGuinness",171.99757806
"Jack","US History","Fall",2020,"Ailsun McGuinness",71.76160899
"Jane","Urban sociology","Spring",2020,"Ailsun McGuinness",74.56247903
"Jill","Environmental Ethics","Fall",2020,"Ailsun McGuinness",82.08024287
"Jimmy","Counseling Psychology","Spring",2020,"Ailsun McGuinness",80.62345251
"Lee","Data Visualization","Spring",2020,"Ailsun McGuinness",79.3052829
"Lee","Python2","Fall",2020,"Ailsun McGuinness",75.1712609
"Lee","Statistics","Fall",2020,"Ailsun McGuinness",72.85609699
"Peter","General Biology","Fall",2020,"Ailsun McGuinness",73.44272905
"Sue","Commercial Law","Spring",2020,"Ailsun McGuinness",73.81374901
"Tony","Modern History","Spring",2020,"Ailsun McGuinness",73.26613707
"Antony","Communication","Spring",4045,"Aindrea Braden",161.78571824
"Cindy","Accounting","Fall",4045,"Aindrea Braden",143.66236718
"Fiona","Financial Modeling","Fall",2021,"Aindrea Braden",77.12702765
"Jack","US History","Fall",2021,"Aindrea Braden",68.2687229
"Jack","Urban sociology","Fall",2021,"Aindrea Braden",68.8401217
"Jimmy","Counseling Psychology","Fall",2021,"Aindrea Braden",76.77232249
"Lee","Python2","Fall",2021,"Aindrea Braden",68.80413062
"Peter","General Biology","Spring",2021,"Aindrea Braden",69.51565412
"Tim","Investment","Fall",2021,"Aindrea Braden",77.43845517
"Tina","Big Data","Fall",2021,"Aindrea Braden",66.09696345
"Tony","Modern History","Fall",2021,"Aindrea Braden",78.71882083
"Wang","Data Visualization","Fall",2021,"Aindrea Braden",71.74923726
"Andrew","Investment","Spring",2019,"Alaine Hanny",68.45947865
"Antony","Communication","Fall",4043,"Alaine Hanny",156.02759074
"Cindy","Financial Modeling","Fall",4043,"Alaine Hanny",152.51597468
"Jane","US History","Spring",2019,"Alaine Hanny",74.17500129
"Jill","Environmental Ethics","Spring",2019,"Alaine Hanny",83.17300436
"Kim","Python2","Fall",2019,"Alaine Hanny",74.14475876
"Lee","Statistics","Fall",2019,"Alaine Hanny",71.36769766
"Peter","General Biology","Fall",2019,"Alaine Hanny",80.43401705
"Sue","Commercial Law","Spring",2019,"Alaine Hanny",68.79906785
"Tim","Accounting","Fall",2019,"Alaine Hanny",75.06642206
"Tony","Modern History","Spring",2019,"Alaine Hanny",72.48895105
"Wang","Data Visualization","Spring",2019,"Alaine Hanny",69.54622456
"Jack","Urban sociology","Spring",2019,"Aland Forson",68.35198303
"Jimmy","Counseling Psychology","Fall",2019,"Aland Forson",83.86332875
"Peter","General Biology","Fall",2019,"Aland Forson",72.13054325
"Sue","Commercial Law","Spring",2019,"Aland Forson",74.21927197
"Tony","Modern History","Fall",2019,"Aland Forson",74.57305977
"Cindy","Accounting","Fall",4045,"Alano Stonall",145.23068348
"Jill","Environmental Ethics","Fall",2021,"Alano Stonall",75.69614844
"Jimmy","Counseling Psychology","Fall",2021,"Alano Stonall",69.86313742
"Lee","Python2","Fall",2021,"Alano Stonall",70.08424263
"Peter","General Biology","Spring",2021,"Alano Stonall",73.64825436
"Sue","Commercial Law","Fall",2021,"Alano Stonall",71.63419702
"Wang","Statistics","Spring",2021,"Alano Stonall",70.73164131
"Antony","Communication","Spring",4045,"Alasteir Kivlehan",156.33785106
"Cindy","Accounting","Spring",4045,"Alasteir Kivlehan",134.60214954
"Jimmy","Counseling Psychology","Fall",2021,"Alasteir Kivlehan",69.56012999
"Sue","Commercial Law","Fall",2021,"Alasteir Kivlehan",69.91752365
"Tim","Investment","Fall",2021,"Alasteir Kivlehan",71.0713392
"Tina","Big Data","Fall",2021,"Alasteir Kivlehan",76.26345273
"Tony","Modern History","Spring",2021,"Alasteir Kivlehan",72.33186424
"Wang","Data Visualization","Fall",2021,"Alasteir Kivlehan",69.84068851
"Wang","Statistics","Fall",2021,"Alasteir Kivlehan",68.80856557
"Antony","Communication","Fall",4044,"Aldrich Martinson",148.40390112
"Cindy","Financial Modeling","Fall",4044,"Aldrich Martinson",146.73478318
"Jimmy","Counseling Psychology","Fall",2020,"Aldrich Martinson",85.52558624
"Kim","Data Visualization","Fall",2020,"Aldrich Martinson",69.86498075
"Lee","Statistics","Fall",2020,"Aldrich Martinson",68.93471162
"Sue","Commercial Law","Spring",2020,"Aldrich Martinson",75.69072706
"Tim","Investment","Spring",2020,"Aldrich Martinson",82.92790651
"Lee","Python2","Spring",2021,"Aleda Nutbeam",69.50904178
"Antony","Communication","Fall",4047,"Alex Keitch",137.94596716
"Jimmy","Counseling Psychology","Fall",2023,"Alex Keitch",82.90052509
"Jack","US History","Fall",2021,"Alexandros Omand",71.28030648
"Lee","Python2","Spring",2021,"Alexandros Omand",80.3479761
"Peter","General Biology","Spring",2021,"Alexandros Omand",74.45329949
"Sue","Commercial Law","Fall",2021,"Alexandros Omand",74.74061522
"Tina","Big Data","Fall",2021,"Alexandros Omand",71.02852806
"Wang","Statistics","Fall",2021,"Alexandros Omand",69.8197734
"Jimmy","Counseling Psychology","Spring",2020,"Ali Audley",78.2362375
"Sue","Commercial Law","Fall",2020,"Ali Audley",75.11573656
"Jill","Environmental Ethics","Fall",2019,"Aline Labram",78.26836226
"Kim","Data Visualization","Fall",2019,"Aline Labram",83.58419039
"Jason","Big Data","Spring",2020,"Alistair Daffern",73.03525106
"Antony","Communication","Fall",4047,"Alistair Jennison",132.29886014
"Fiona","Financial Modeling","Fall",4047,"Alistair Jennison",145.50294488
"Jack","Urban sociology","Fall",2023,"Alistair Jennison",71.60570552
"Jane","US History","Spring",2023,"Alistair Jennison",72.35333484
"Jason","Big Data","Fall",2023,"Alistair Jennison",70.18059359
"Jill","Environmental Ethics","Spring",2023,"Alistair Jennison",74.07121009
"Jimmy","Counseling Psychology","Spring",2023,"Alistair Jennison",84.16536951
"Lee","Data Visualization","Fall",2023,"Alistair Jennison",71.29745374
"Lee","Python2","Fall",2023,"Alistair Jennison",73.48989179
"Peter","General Biology","Fall",2023,"Alistair Jennison",68.42434329
"Tony","Modern History","Fall",2023,"Alistair Jennison",73.20140455
"Wang","Statistics","Fall",2023,"Alistair Jennison",67.80149688
"Antony","Communication","Fall",4047,"Alla Antonietti",167.04865008
"Cindy","Accounting","Fall",4047,"Alla Antonietti",149.51804722
"Cindy","Financial Modeling","Spring",4047,"Alla Antonietti",136.88762886
"Jack","US History","Fall",2023,"Alla Antonietti",75.84460677
"Jack","Urban sociology","Spring",2023,"Alla Antonietti",69.1570248
"Jason","Big Data","Fall",2023,"Alla Antonietti",72.20919726
"Jill","Environmental Ethics","Fall",2023,"Alla Antonietti",73.77269746
"Jimmy","Counseling Psychology","Fall",2023,"Alla Antonietti",75.28339517
"Lee","Data Visualization","Fall",2023,"Alla Antonietti",76.7413172
"Lee","Python2","Fall",2023,"Alla Antonietti",74.54688358
"Peter","General Biology","Fall",2023,"Alla Antonietti",72.75965349
"Sue","Commercial Law","Fall",2023,"Alla Antonietti",76.11140231
"Tony","Modern History","Fall",2023,"Alla Antonietti",78.01685391
"Wang","Statistics","Fall",2023,"Alla Antonietti",69.85452145
"Antony","Communication","Fall",4044,"Alleyn Rowcastle",171.03972566
"Cindy","Accounting","Spring",4044,"Alleyn Rowcastle",137.61459124
"Jane","Urban sociology","Spring",2020,"Alleyn Rowcastle",69.6638222
"Jason","Big Data","Spring",2020,"Alleyn Rowcastle",78.30706793
"Jill","Environmental Ethics","Fall",2020,"Alleyn Rowcastle",84.64677503
"Jimmy","Counseling Psychology","Spring",2020,"Alleyn Rowcastle",81.96754834
"Lee","Python2","Spring",2020,"Alleyn Rowcastle",77.16761415
"Lee","Statistics","Spring",2020,"Alleyn Rowcastle",69.97849835
"Peter","General Biology","Fall",2020,"Alleyn Rowcastle",66.82843623
"Sue","Commercial Law","Fall",2020,"Alleyn Rowcastle",69.3054235
"Tim","Investment","Spring",2020,"Alleyn Rowcastle",73.97908996
"Tony","Modern History","Spring",2020,"Alleyn Rowcastle",81.64815183
"Andrew","Investment","Spring",2021,"Allina Blanche",79.91119564
"Antony","Communication","Spring",4045,"Allina Blanche",164.81329018
"Cindy","Financial Modeling","Spring",4045,"Allina Blanche",146.6031279
"Jack","Urban sociology","Fall",2021,"Allina Blanche",68.94196122
"Lee","Python2","Spring",2021,"Allina Blanche",67.50270354
"Peter","General Biology","Fall",2021,"Allina Blanche",77.35328038
"Tina","Big Data","Fall",2021,"Allina Blanche",68.11312121
"Cindy","Accounting","Fall",4045,"Allyce Treeby",139.65034218
"Fiona","Financial Modeling","Fall",2021,"Allyce Treeby",75.06753092
"Tim","Investment","Fall",2021,"Allyce Treeby",79.24444467
"Cindy","Accounting","Fall",4045,"Almira Twell",135.8036421
"Jimmy","Counseling Psychology","Spring",2021,"Almira Twell",70.65703449
"Lee","Data Visualization","Spring",2021,"Almira Twell",79.93464331
"Antony","Communication","Fall",4043,"Aloysia Girardin",156.26643688
"Cindy","Financial Modeling","Fall",4043,"Aloysia Girardin",147.29095238
"Jack","Urban sociology","Spring",2019,"Aloysia Girardin",75.33020455
"Jane","US History","Spring",2019,"Aloysia Girardin",70.06223079
"Jason","Big Data","Fall",2019,"Aloysia Girardin",75.88088381
"Jill","Environmental Ethics","Fall",2019,"Aloysia Girardin",75.54595223
"Jimmy","Counseling Psychology","Fall",2019,"Aloysia Girardin",85.09059019
"Kim","Python2","Spring",2019,"Aloysia Girardin",83.48393881
"Peter","General Biology","Fall",2019,"Aloysia Girardin",75.06741189
"Sue","Commercial Law","Fall",2019,"Aloysia Girardin",70.01293571
"Tim","Investment","Fall",2019,"Aloysia Girardin",83.86328356
"Jimmy","Counseling Psychology","Spring",2020,"Aloysius Shiril",68.38849461
"Lee","Statistics","Fall",2020,"Aloysius Shiril",71.17747967
"Antony","Communication","Fall",4044,"Alvera Daintree",132.57187076
"Cindy","Accounting","Fall",4044,"Alvera Daintree",135.90498638
"Cindy","Financial Modeling","Fall",4044,"Alvera Daintree",149.65255048
"Jimmy","Counseling Psychology","Fall",2020,"Alvera Daintree",84.96055307
"Kim","Data Visualization","Fall",2020,"Alvera Daintree",81.87976671
"Lee","Python2","Fall",2020,"Alvera Daintree",67.08097569
"Lee","Statistics","Fall",2020,"Alvera Daintree",74.16828027
"Sue","Commercial Law","Spring",2020,"Alvera Daintree",77.73217854
"Antony","Communication","Spring",4043,"Alyosha Vasovic",152.1110851
"Jill","Environmental Ethics","Fall",2019,"Alyosha Vasovic",85.60930057
"Kim","Data Visualization","Fall",2019,"Alyosha Vasovic",70.64940202
"Kim","Python2","Fall",2019,"Alyosha Vasovic",76.87741215
"Peter","General Biology","Spring",2019,"Alyosha Vasovic",71.29623247
"Sue","Commercial Law","Spring",2019,"Alyosha Vasovic",69.07945623
"Tim","Accounting","Fall",2019,"Alyosha Vasovic",74.69335303
"Andrew","Investment","Fall",2020,"Alysia Boutflour",79.96588855
"Antony","Communication","Spring",4044,"Alysia Boutflour",133.31809452
"Cindy","Accounting","Fall",4044,"Alysia Boutflour",147.66048312
"Fiona","Financial Modeling","Spring",2020,"Alysia Boutflour",73.06748749
"Jack","US History","Fall",2020,"Alysia Boutflour",72.43536819
"Jack","Urban sociology","Fall",2020,"Alysia Boutflour",75.7428341
"Jason","Big Data","Spring",2020,"Alysia Boutflour",68.1868154
"Jill","Environmental Ethics","Fall",2020,"Alysia Boutflour",88.24460391
"Kim","Data Visualization","Fall",2020,"Alysia Boutflour",72.40514782
"Lee","Python2","Fall",2020,"Alysia Boutflour",78.27147752
"Lee","Statistics","Fall",2020,"Alysia Boutflour",76.15732952
"Peter","General Biology","Spring",2020,"Alysia Boutflour",76.94031489
"Sue","Commercial Law","Fall",2020,"Alysia Boutflour",74.67102497
"Tony","Modern History","Fall",2020,"Alysia Boutflour",74.40725482
"Cindy","Accounting","Spring",4045,"Amaleta Surgood",148.59410652
"Jimmy","Counseling Psychology","Fall",2021,"Amaleta Surgood",84.51725634
"Lee","Python2","Fall",2021,"Amaleta Surgood",80.46631859
"Tim","Investment","Fall",2021,"Amaleta Surgood",82.97901332
"Tina","Big Data","Fall",2021,"Amaleta Surgood",69.19821581
"Tony","Modern History","Fall",2021,"Amaleta Surgood",72.16093913
"Wang","Data Visualization","Fall",2021,"Amaleta Surgood",70.42313952
"Antony","Communication","Fall",4045,"Amalia Jobke",162.98433398
"Lee","Data Visualization","Spring",2021,"Amalia Jobke",68.68509436
"Andrew","Investment","Spring",2019,"Amalia Pickvance",85.00894072
"Jack","US History","Fall",2019,"Amalia Pickvance",68.80034341
"Jack","Urban sociology","Fall",2019,"Amalia Pickvance",69.93435971
"Jill","Environmental Ethics","Fall",2019,"Amalia Pickvance",82.41822225
"Lee","Statistics","Fall",2019,"Amalia Pickvance",67.43688414
"Peter","General Biology","Spring",2019,"Amalia Pickvance",71.04633478
"Wang","Data Visualization","Spring",2019,"Amalia Pickvance",70.24797387
"Jane","US History","Spring",2020,"Amara Rutley",71.41588422
"Jason","Big Data","Spring",2020,"Amara Rutley",67.6741506
"Jill","Environmental Ethics","Spring",2020,"Amara Rutley",73.34674693
"Tim","Investment","Spring",2020,"Amara Rutley",74.32740213
"Antony","Communication","Fall",4045,"Amerigo Gegg",168.61614894
"Fiona","Financial Modeling","Fall",2021,"Amerigo Gegg",73.80701873
"Jimmy","Counseling Psychology","Fall",2021,"Amerigo Gegg",65.0495074
"Lee","Python2","Fall",2021,"Amerigo Gegg",81.23268312
"Peter","General Biology","Fall",2021,"Amerigo Gegg",74.78729209
"Tina","Big Data","Fall",2021,"Amerigo Gegg",65.0110589
"Wang","Statistics","Spring",2021,"Amerigo Gegg",67.54901492
"Jill","Environmental Ethics","Fall",2021,"Ana Robb",86.88868768
"Sue","Commercial Law","Fall",2021,"Ana Robb",77.85792645
"Antony","Communication","Fall",4047,"Ana Vasyagin",155.83196006
"Jack","US History","Fall",2023,"Ana Vasyagin",74.86747779
"Jack","Urban sociology","Spring",2023,"Ana Vasyagin",73.69145824
"Jason","Big Data","Fall",2023,"Ana Vasyagin",80.09652197
"Jill","Environmental Ethics","Fall",2023,"Ana Vasyagin",80.62672436
"Jimmy","Counseling Psychology","Fall",2023,"Ana Vasyagin",83.63723481
"Lee","Python2","Fall",2023,"Ana Vasyagin",71.26394347
"Lee","Statistics","Spring",2023,"Ana Vasyagin",74.51462108
"Peter","General Biology","Fall",2023,"Ana Vasyagin",69.28686746
"Sue","Commercial Law","Fall",2023,"Ana Vasyagin",68.80986278
"Tim","Investment","Fall",2023,"Ana Vasyagin",75.63824008
"Tony","Modern History","Spring",2023,"Ana Vasyagin",73.73680956
"Antony","Communication","Fall",4043,"Analise Tuffey",178.3359226
"Cindy","Financial Modeling","Spring",4043,"Analise Tuffey",166.02055172
"Jack","Urban sociology","Fall",2019,"Analise Tuffey",83.92877888
"Jane","US History","Spring",2019,"Analise Tuffey",84.84085347
"Jason","Big Data","Fall",2019,"Analise Tuffey",88.00567695
"Jimmy","Counseling Psychology","Fall",2019,"Analise Tuffey",90.77443945
"Kim","Data Visualization","Fall",2019,"Analise Tuffey",87.3919706
"Kim","Python2","Spring",2019,"Analise Tuffey",87.27711681
"Lee","Statistics","Fall",2019,"Analise Tuffey",83.56379771
"Peter","General Biology","Fall",2019,"Analise Tuffey",87.59036817
"Sue","Commercial Law","Fall",2019,"Analise Tuffey",85.24215561
"Tim","Investment","Fall",2019,"Analise Tuffey",91.73462367
"Tony","Modern History","Spring",2019,"Analise Tuffey",88.59093132
"Antony","Communication","Fall",4047,"Andrey Ferrieres",151.81877324
"Cindy","Accounting","Fall",4047,"Andrey Ferrieres",134.23541364
"Cindy","Financial Modeling","Spring",4047,"Andrey Ferrieres",139.92301392
"Jack","Urban sociology","Spring",2023,"Andrey Ferrieres",72.45748741
"Jill","Environmental Ethics","Spring",2023,"Andrey Ferrieres",76.24266777
"Jimmy","Counseling Psychology","Fall",2023,"Andrey Ferrieres",66.26210484
"Lee","Data Visualization","Fall",2023,"Andrey Ferrieres",69.75040382
"Lee","Python2","Fall",2023,"Andrey Ferrieres",71.70293579
"Peter","General Biology","Spring",2023,"Andrey Ferrieres",69.60031819
"Sue","Commercial Law","Spring",2023,"Andrey Ferrieres",76.83842686
"Tim","Investment","Spring",2023,"Andrey Ferrieres",70.88214766
"Tina","Big Data","Spring",2023,"Andrey Ferrieres",78.58089067
"Wang","Statistics","Fall",2023,"Andrey Ferrieres",69.00817959
"Andrew","Investment","Fall",2020,"Andriette Lee",67.9043585
"Cindy","Financial Modeling","Fall",4044,"Andriette Lee",147.14306912
"Kim","Data Visualization","Fall",2020,"Andriette Lee",67.73070948
"Lee","Python2","Spring",2020,"Andriette Lee",78.5508932
"Lee","Statistics","Fall",2020,"Andriette Lee",70.30965898
"Peter","General Biology","Fall",2020,"Andriette Lee",73.82411642
"Sue","Commercial Law","Spring",2020,"Andriette Lee",70.74852075
"Cindy","Financial Modeling","Fall",4043,"Andy Rodgier",142.18233886
"Jill","Environmental Ethics","Spring",2019,"Andy Rodgier",77.00840915
"Kim","Data Visualization","Fall",2019,"Andy Rodgier",86.51144075
"Kim","Python2","Fall",2019,"Andy Rodgier",71.05548266
"Tim","Accounting","Fall",2019,"Andy Rodgier",72.18649335
"Tim","Investment","Fall",2019,"Andy Rodgier",81.56941428
"Tina","Big Data","Spring",2019,"Andy Rodgier",67.93610382
"Wang","Statistics","Spring",2019,"Andy Rodgier",68.83161107
"Antony","Communication","Spring",4043,"Anestassia Lahy",145.515202
"Cindy","Financial Modeling","Spring",4043,"Anestassia Lahy",153.98975396
"Jack","US History","Fall",2019,"Anestassia Lahy",69.3002757
"Jack","Urban sociology","Fall",2019,"Anestassia Lahy",70.54808836
"Jason","Big Data","Fall",2019,"Anestassia Lahy",73.58221551
"Jill","Environmental Ethics","Fall",2019,"Anestassia Lahy",78.09945989
"Kim","Data Visualization","Fall",2019,"Anestassia Lahy",83.1024228
"Kim","Python2","Spring",2019,"Anestassia Lahy",71.49406154
"Peter","General Biology","Spring",2019,"Anestassia Lahy",79.7145632
"Sue","Commercial Law","Fall",2019,"Anestassia Lahy",77.04489254
"Tony","Modern History","Fall",2019,"Anestassia Lahy",68.74045125
"Wang","Statistics","Spring",2019,"Anestassia Lahy",69.21743221
"Jill","Environmental Ethics","Spring",2021,"Angel Bende",68.59220441
"Lee","Python2","Fall",2021,"Angel Bende",73.97373496
"Jason","Big Data","Fall",2019,"Angel Jocelyn",69.56426488
"Jimmy","Counseling Psychology","Spring",2022,"Angele Norres",66.32289531
"Andrew","Investment","Fall",2020,"Angelia Pennells",71.91024058
"Antony","Communication","Fall",4044,"Angelia Pennells",142.3504179
"Jack","Urban sociology","Fall",2020,"Angelia Pennells",71.84320359
"Jimmy","Counseling Psychology","Fall",2020,"Angelia Pennells",77.65039785
"Lee","Statistics","Fall",2020,"Angelia Pennells",71.39829138
"Tony","Modern History","Fall",2020,"Angelia Pennells",76.45001054
"Antony","Communication","Fall",4043,"Angelico Sidworth",146.32763684
"Jill","Environmental Ethics","Fall",2019,"Angelico Sidworth",79.97876007
"Jimmy","Counseling Psychology","Fall",2019,"Angelico Sidworth",67.14568573
"Antony","Communication","Spring",4043,"Angeline Blaylock",147.67972082
"Lee","Statistics","Fall",2019,"Angeline Blaylock",70.06563734
"Sue","Commercial Law","Fall",2019,"Angeline Blaylock",76.72828562
"Tim","Investment","Fall",2019,"Angeline Blaylock",75.67283448
"Cindy","Accounting","Fall",4045,"Angelique Domenici",147.72184196
"Jack","US History","Spring",2021,"Angelique Domenici",70.66179697
"Jimmy","Counseling Psychology","Fall",2021,"Angelique Domenici",72.84312351
"Lee","Python2","Spring",2021,"Angelique Domenici",67.42632775
"Peter","General Biology","Fall",2021,"Angelique Domenici",71.55597129
"Wang","Data Visualization","Fall",2021,"Angelique Domenici",70.7190441
"Cindy","Accounting","Fall",4045,"Angus Marryatt",163.01483926
"Jill","Environmental Ethics","Fall",2021,"Angus Marryatt",75.05762858
"Jimmy","Counseling Psychology","Fall",2021,"Angus Marryatt",73.75634353
"Wang","Data Visualization","Fall",2021,"Angus Marryatt",93.7746937
"Wang","Statistics","Spring",2021,"Angus Marryatt",79.45374432
"Fiona","Financial Modeling","Fall",2021,"Antonietta Kyrkeman",80.3187628
"Jill","Environmental Ethics","Spring",2021,"Antonietta Kyrkeman",69.80024293
"Jimmy","Counseling Psychology","Spring",2021,"Antonietta Kyrkeman",81.15612561
"Tim","Investment","Fall",2021,"Antonietta Kyrkeman",77.21357142
